time	Light
02:18	8
02:18	8
02:19	9
02:19	8
02:19	9
02:19	8
02:19	7
02:20	6
02:20	9
02:20	7
02:20	6
02:20	6
02:21	8
02:21	8
02:21	9
02:21	8
02:21	9
02:22	8
02:22	5
02:22	10
02:22	9
02:22	8
02:23	8
02:23	9
02:23	4
02:23	7
02:23	9
02:24	9
02:24	8
02:24	9
02:24	9
02:24	8
02:25	9
02:25	8
02:25	12
02:25	8
02:25	9
02:26	8
02:26	8
02:26	9
02:26	9
02:26	9
02:26	9
02:27	9
02:27	8
02:27	9
02:27	8
02:27	8
02:28	9
02:28	9
02:28	9
02:28	9
02:28	9
02:29	9
02:29	9
02:29	8
02:29	8
02:29	9
02:30	7
02:30	9
02:30	7
02:30	9
02:30	8
02:31	8
02:31	8
02:31	8
02:31	8
02:31	9
02:32	7
02:32	9
02:32	9
02:32	8
02:32	8
02:33	8
02:33	9
02:33	9
02:33	9
02:33	10
02:34	9
02:34	8
02:34	8
02:34	8
02:34	8
02:34	9
02:35	8
02:35	8
02:35	9
02:35	9
02:35	9
02:36	8
02:36	9
02:36	9
02:36	8
02:36	8
02:37	9
02:37	9
02:37	9
02:37	9
02:37	10
02:38	8
02:38	9
02:38	9
02:38	9
02:38	9
02:39	9
02:39	9
02:39	8
02:39	9
02:39	9
02:40	9
02:40	9
02:40	7
02:40	9
02:40	8
02:41	10
02:41	8
02:41	9
02:41	8
02:41	9
02:42	9
02:42	9
02:42	9
02:42	8
02:42	8
02:42	8
02:43	8
02:43	7
02:43	8
02:43	8
02:43	9
02:44	9
02:44	7
02:44	7
02:44	6
02:44	8
02:45	9
02:45	8
02:45	8
02:45	9
02:45	9
02:46	9
02:46	9
02:46	7
02:46	8
02:46	8
02:47	9
02:47	9
02:47	9
02:47	8
02:47	8
02:48	9
02:48	9
02:48	6
02:48	9
02:48	9
02:49	8
02:49	7
02:49	8
02:49	8
02:49	9
02:50	7
02:50	10
02:50	9
02:50	9
02:50	9
02:51	9
02:51	9
02:51	8
02:51	7
02:51	8
02:51	9
02:52	7
02:52	7
02:52	9
02:52	9
02:52	8
02:53	8
02:53	9
02:53	9
02:53	9
02:53	8
02:54	9
02:54	9
02:54	9
02:54	9
02:54	9
02:55	8
02:55	9
02:55	8
02:55	9
02:55	8
02:56	8
02:56	8
02:56	8
02:56	7
02:56	5
02:57	11
02:57	11
02:57	12
02:57	11
02:57	9
02:58	11
02:58	10
02:58	16
02:58	9
02:58	11
03:00	5
03:00	8
03:01	1
03:01	2
03:01	1
03:01	1
03:01	2
03:02	1
03:02	4
03:02	2
03:02	1
03:02	1
03:03	1
03:03	1
03:03	1
03:03	2
03:03	6
03:04	1
03:04	1
03:04	4
03:04	1
03:04	1
03:05	1
03:05	1
03:05	2
03:05	1
03:05	3
03:06	1
03:06	3
03:06	1
03:06	2
03:06	1
03:07	2
03:07	3
03:07	1
03:07	4
03:07	2
03:08	1
03:08	1
03:08	2
03:08	2
03:08	1
03:08	2
03:09	2
03:09	0
03:09	2
03:09	1
03:09	1
03:10	3
03:10	3
03:10	3
03:10	1
03:10	1
03:11	4
03:11	2
03:11	4
