time	Light
02:18	20
02:18	19
02:19	18
02:19	19
02:19	19
02:19	19
02:19	19
02:20	19
02:20	17
02:20	20
02:20	19
02:20	18
02:21	19
02:21	20
02:21	20
02:21	20
02:21	19
02:22	20
02:22	19
02:22	19
02:22	18
02:22	20
02:22	19
02:23	21
02:23	20
02:23	19
02:23	20
02:23	19
02:24	19
02:24	20
02:24	18
02:24	21
02:24	17
02:25	20
02:25	17
02:25	19
02:25	19
02:25	17
02:26	18
02:26	17
02:26	18
02:26	18
02:26	19
02:27	19
02:27	19
02:27	17
02:27	18
02:27	19
02:28	19
02:28	20
02:28	18
02:28	18
02:28	19
02:29	17
02:29	18
02:29	19
02:29	19
02:29	18
02:30	19
02:30	19
02:30	20
02:30	20
02:30	21
02:30	20
02:31	19
02:31	20
02:31	19
02:31	19
02:31	20
02:32	19
02:32	19
02:32	22
02:32	20
02:32	19
02:33	19
02:33	21
02:33	20
02:55	19
02:55	20
02:55	18
02:55	24
02:55	17
02:56	18
02:56	18
02:56	20
02:56	18
02:56	19
02:56	14
02:57	17
02:57	20
02:57	18
02:57	18
02:57	20
02:58	19
02:58	21
02:58	21
02:58	20
02:58	18
03:00	18
03:00	23
03:01	1
03:01	1
03:01	1
03:01	0
03:01	0
03:02	1
03:02	0
03:02	1
03:02	1
03:02	1
03:03	0
03:03	1
03:03	1
03:03	0
03:03	3
03:04	1
03:04	1
03:04	1
03:04	0
03:04	7
03:05	1
03:05	0
03:05	2
03:05	0
03:05	0
03:06	1
03:06	0
03:06	2
03:06	0
03:06	1
03:07	0
03:07	1
03:07	1
03:07	0
03:07	0
03:08	1
03:08	0
03:08	0
03:08	0
03:08	1
03:08	1
03:09	1
03:09	1
03:09	1
03:09	0
03:09	1
03:10	1
03:10	1
03:10	0
03:10	0
03:10	0
03:11	1
03:11	1
03:11	1
03:11	3
03:11	1
03:12	1
03:12	1
03:12	1
03:12	1
03:12	1
03:13	2
03:13	1
03:13	0
03:13	2
03:13	1
03:14	2
03:14	1
03:14	1
03:14	2
03:14	2
03:15	1
03:15	1
03:15	0
03:15	0
03:15	0
03:16	0
03:16	0
03:16	1
03:16	3
03:16	0
