time	temperature
02:18	32
02:18	32
02:19	32
02:19	32
02:19	32
02:19	32
02:19	32
02:20	32
02:20	32
02:20	32
02:20	32
02:20	32
02:21	32
02:21	32
02:21	32
02:21	32
02:21	32
02:22	32
02:22	32
02:22	32
02:22	32
02:22	32
02:23	32
02:23	32
02:23	33
02:23	32
02:23	32
02:24	33
02:24	33
02:24	32
02:24	32
02:24	32
02:25	32
02:25	32
02:25	32
02:25	32
02:25	32
02:26	32
02:26	32
02:26	32
02:26	32
02:26	32
02:26	32
02:27	32
02:27	32
02:27	32
02:27	32
02:27	32
02:28	32
02:28	32
02:28	32
02:28	32
02:28	32
02:29	32
02:29	32
02:29	32
02:29	32
02:29	32
02:30	32
02:30	32
02:30	32
02:30	32
02:30	32
02:31	32
02:31	32
02:31	32
02:31	32
02:31	32
02:32	32
02:32	32
02:32	32
02:32	32
02:32	32
02:33	32
02:33	32
02:33	32
02:33	32
02:33	32
02:34	32
02:34	32
02:34	32
02:34	32
02:34	32
02:34	32
02:35	32
02:35	32
02:35	32
02:35	32
02:35	32
02:36	32
02:36	32
02:36	32
02:36	32
02:36	32
02:37	32
02:37	32
02:37	32
02:37	32
02:37	32
02:38	32
02:38	32
02:38	32
02:38	32
02:38	32
02:39	32
02:39	32
02:39	32
02:39	32
02:39	32
02:40	32
02:40	32
02:40	32
02:40	32
02:40	32
02:41	32
02:41	32
02:41	32
02:41	32
02:41	32
02:42	32
02:42	32
02:42	32
02:42	32
02:42	32
02:43	32
02:43	32
02:43	32
02:43	32
02:43	32
02:43	32
02:44	32
02:44	32
02:44	32
02:44	32
02:44	32
02:45	32
02:45	32
02:45	32
02:45	32
02:45	32
02:46	32
02:46	32
02:46	32
02:46	32
02:46	32
02:47	32
02:47	32
02:47	32
02:47	32
02:47	32
02:48	32
02:48	32
02:48	32
02:48	32
02:48	32
02:49	32
02:49	32
02:49	32
02:49	32
02:49	32
02:50	32
02:50	32
02:50	32
02:50	32
02:50	32
02:51	32
02:51	32
02:51	32
02:51	32
02:51	32
02:51	32
02:52	32
02:52	32
02:52	32
02:52	32
02:52	32
02:53	32
02:53	32
02:53	32
02:53	32
02:53	32
02:54	32
02:54	32
02:54	32
02:54	32
02:54	32
02:55	32
02:55	32
02:55	32
02:55	32
02:55	32
02:56	32
02:56	32
02:56	32
02:56	32
02:56	32
02:57	32
02:57	32
02:57	32
02:57	32
02:57	32
02:58	32
02:58	32
02:58	32
02:58	32
02:58	32
03:00	28
03:00	29
03:01	29
03:01	29
03:01	29
03:01	29
03:01	29
03:02	29
03:02	29
03:02	29
03:02	30
03:02	30
03:03	30
03:03	30
03:03	30
03:03	30
03:03	30
03:04	30
03:04	30
03:04	31
03:04	31
03:04	31
03:05	31
03:05	31
03:05	31
03:05	31
03:05	31
03:06	31
03:06	31
03:06	31
03:06	31
03:06	31
03:07	31
03:07	31
03:07	32
03:07	32
03:07	32
03:08	32
03:08	32
03:08	32
03:08	32
03:08	32
03:08	32
03:09	32
03:09	32
03:09	32
03:09	32
03:09	32
03:10	32
03:10	32
03:10	32
03:10	32
03:10	32
03:11	32
03:11	32
03:11	32
03:11	32
03:11	32
03:12	32
03:12	32
03:12	32
03:12	32
03:12	32
03:13	32
03:13	32
03:13	32
03:13	32
03:13	32
03:14	32
03:14	32
03:14	32
03:14	32
03:14	32
03:15	32
03:15	32
03:15	32
03:15	33
03:15	33
03:16	33
03:16	33
03:16	33
03:16	33
03:16	33
03:16	33
03:17	33
03:17	33
03:17	33
03:17	33
03:17	33
03:18	33
03:18	33
03:18	33
03:18	33
03:18	33
03:19	33
03:19	33
03:19	33
03:19	33
03:19	33
03:20	33
03:20	33
03:20	33
03:20	33
03:20	33
03:21	33
03:21	33
03:21	33
03:21	33
03:21	33
03:22	33
03:22	33
03:22	33
03:22	33
03:22	33
03:23	33
03:23	33
03:23	33
03:23	33
03:23	33
03:24	33
03:24	33
03:24	33
03:24	33
03:24	33
03:25	33
03:25	33
03:25	33
03:25	33
03:25	33
03:25	33
03:26	33
03:26	33
03:26	33
03:26	33
03:26	33
03:27	33
03:27	33
03:27	33
03:27	33
03:27	33
03:28	33
03:28	33
03:28	33
03:28	33
03:28	33
03:29	33
03:29	33
03:29	33
03:29	33
03:29	33
03:30	33
03:30	33
03:30	33
03:30	33
03:30	33
03:31	33
03:31	33
03:31	33
03:31	33
03:31	33
03:32	33
03:32	33
03:32	33
03:55	24
03:55	24
03:55	25
03:56	25
03:56	26
03:56	26
03:56	27
03:56	27
03:57	27
03:57	27
03:57	28
03:57	28
03:57	28
03:58	28
03:58	28
03:58	29
03:58	29
03:58	29
03:59	29
03:59	29
03:59	29
03:59	30
03:59	30
04:00	30
04:00	30
04:00	30
04:00	30
04:00	30
04:01	30
04:01	30
04:01	31
04:01	31
04:01	31
04:01	31
04:02	31
04:02	31
04:02	31
04:02	31
04:02	31
04:03	31
04:03	31
04:03	31
04:03	32
04:03	32
04:04	32
04:04	32
04:04	32
04:04	32
04:04	32
04:05	32
04:05	32
04:05	32
04:05	32
04:05	32
04:06	32
04:06	32
04:06	32
04:06	32
04:06	32
04:07	32
04:07	32
04:07	32
04:07	32
04:07	33
04:08	33
04:08	33
04:08	33
04:08	33
04:08	33
04:09	33
04:09	33
04:09	33
04:09	33
04:09	33
04:09	33
04:10	33
04:10	33
04:10	33
04:10	33
04:10	33
04:11	33
04:11	33
04:11	33
04:11	33
04:11	33
04:12	33
04:12	33
04:12	33
04:12	33
04:12	33
04:13	33
04:13	33
04:13	33
04:13	33
04:13	33
04:14	33
04:14	33
04:14	33
04:14	33
04:14	33
04:15	33
04:15	33
04:15	33
04:15	33
04:15	33
04:16	33
04:16	33
04:16	34
04:16	34
04:16	34
04:17	34
04:17	34
04:17	34
04:17	34
04:17	34
04:18	34
04:18	34
04:18	34
04:18	34
04:18	34
04:18	34
04:19	34
04:19	34
04:19	34
04:19	34
04:19	34
04:20	34
04:20	34
04:20	34
04:20	34
04:20	34
04:21	34
04:21	34
04:21	34
04:21	34
04:21	34
04:22	34
04:22	34
04:22	34
04:22	34
04:22	34
